Model	Transcription factor	Model length	Quality	TF family	EntrezGene	UniProt ID
RARA_HUMAN.H10MO.C	RARA	17	C	Thyroid hormone receptor-related factors (NR1){2.1.2}	5914	RARA_HUMAN
RARA_HUMAN.H10MO.S	RARA	7	S	Thyroid hormone receptor-related factors (NR1){2.1.2}	5914	RARA_HUMAN
RARB_HUMAN.H10MO.D	RARB	11	D	Thyroid hormone receptor-related factors (NR1){2.1.2}	5915	RARB_HUMAN
RARG_HUMAN.H10MO.C	RARG	20	C	Thyroid hormone receptor-related factors (NR1){2.1.2}	5916	RARG_HUMAN
RARG_HUMAN.H10MO.S	RARG	7	S	Thyroid hormone receptor-related factors (NR1){2.1.2}	5916	RARG_HUMAN
RAX2_HUMAN.H10MO.D	RAX2	12	D	Paired-related HD factors{3.1.3}	84839	RAX2_HUMAN
RELB_HUMAN.H10MO.C	RELB	12	C	NF-kappaB-related factors{6.1.1}	5971	RELB_HUMAN
REL_HUMAN.H10MO.C	REL	12	C	NF-kappaB-related factors{6.1.1}	5966	REL_HUMAN
REST_HUMAN.H10MO.A	REST	22	A	Factors with multiple dispersed zinc fingers{2.3.4}	5978	REST_HUMAN
RFX1_HUMAN.H10MO.C	RFX1	12	C	RFX-related factors{3.3.3}	5989	RFX1_HUMAN
RFX2_HUMAN.H10MO.C	RFX2	22	C	RFX-related factors{3.3.3}	5990	RFX2_HUMAN
RFX3_HUMAN.H10MO.B	RFX3	14	B	RFX-related factors{3.3.3}	5991	RFX3_HUMAN
RFX4_HUMAN.H10MO.D	RFX4	15	D	RFX-related factors{3.3.3}	5992	RFX4_HUMAN
RFX5_HUMAN.H10MO.A	RFX5	20	A	RFX-related factors{3.3.3}	5993	RFX5_HUMAN
RHXF1_HUMAN.H10MO.D	RHOXF1	11	D	Paired-related HD factors{3.1.3}	158800	RHXF1_HUMAN
RORA_HUMAN.H10MO.B	RORA	12	B	Thyroid hormone receptor-related factors (NR1){2.1.2}	6095	RORA_HUMAN
RORG_HUMAN.H10MO.C	RORC	13	C	Thyroid hormone receptor-related factors (NR1){2.1.2}	6097	RORG_HUMAN
RREB1_HUMAN.H10MO.D	RREB1	22	D	Factors with multiple dispersed zinc fingers{2.3.4}	6239	RREB1_HUMAN
RUNX1_HUMAN.H10MO.A	RUNX1	11	A	Runt-related factors{6.4.1}	861	RUNX1_HUMAN
RUNX2_HUMAN.H10MO.B	RUNX2	11	B	Runt-related factors{6.4.1}	860	RUNX2_HUMAN
RUNX3_HUMAN.H10MO.C	RUNX3	11	C	Runt-related factors{6.4.1}	864	RUNX3_HUMAN
RXRA_HUMAN.H10MO.C	RXRA	17	C	RXR-related receptors (NR2){2.1.3}	6256	RXRA_HUMAN
RXRB_HUMAN.H10MO.C	RXRB	10	C	RXR-related receptors (NR2){2.1.3}	6257	RXRB_HUMAN
RXRG_HUMAN.H10MO.B	RXRG	13	B	RXR-related receptors (NR2){2.1.3}	6258	RXRG_HUMAN
RX_HUMAN.H10MO.D	RAX	11	D	Paired-related HD factors{3.1.3}	30062	RX_HUMAN
SCRT1_HUMAN.H10MO.D	SCRT1	13	D	More than 3 adjacent zinc finger factors{2.3.3}	83482	SCRT1_HUMAN
SCRT2_HUMAN.H10MO.D	SCRT2	13	D	More than 3 adjacent zinc finger factors{2.3.3}	85508	SCRT2_HUMAN
SHOX2_HUMAN.H10MO.D	SHOX2	17	D	Paired-related HD factors{3.1.3}	6474	SHOX2_HUMAN
SHOX_HUMAN.H10MO.D	SHOX	17	D	Paired-related HD factors{3.1.3}	6473	SHOX_HUMAN
SMAD1_HUMAN.H10MO.D	SMAD1	12	D	SMAD factors{7.1.1}	4086	SMAD1_HUMAN
SMAD2_HUMAN.H10MO.C	SMAD2	12	C	SMAD factors{7.1.1}	4087	SMAD2_HUMAN
SMAD3_HUMAN.H10MO.C	SMAD3	10	C	SMAD factors{7.1.1}	4088	SMAD3_HUMAN
SMAD4_HUMAN.H10MO.C	SMAD4	13	C	SMAD factors{7.1.1}	4089	SMAD4_HUMAN
SMRC1_HUMAN.H10MO.D	SMARCC1	11	D	Myb/SANT domain factors{3.5.1}	6599	SMRC1_HUMAN
SNAI1_HUMAN.H10MO.C	SNAI1	8	C	More than 3 adjacent zinc finger factors{2.3.3}	6615	SNAI1_HUMAN
SNAI2_HUMAN.H10MO.C	SNAI2	7	C	More than 3 adjacent zinc finger factors{2.3.3}	6591	SNAI2_HUMAN
SOX10_HUMAN.H10MO.D	SOX10	7	D	SOX-related factors{4.1.1}	6663	SOX10_HUMAN
SOX11_HUMAN.H10MO.D	SOX11	16	D	SOX-related factors{4.1.1}	6664	SOX11_HUMAN
SOX13_HUMAN.H10MO.D	SOX13	8	D	SOX-related factors{4.1.1}	9580	SOX13_HUMAN
SOX15_HUMAN.H10MO.D	SOX15	7	D	SOX-related factors{4.1.1}	6665	SOX15_HUMAN
SOX17_HUMAN.H10MO.D	SOX17	18	D	SOX-related factors{4.1.1}	64321	SOX17_HUMAN
SOX18_HUMAN.H10MO.D	SOX18	19	D	SOX-related factors{4.1.1}	54345	SOX18_HUMAN
SOX1_HUMAN.H10MO.D	SOX1	16	D	SOX-related factors{4.1.1}	6656	SOX1_HUMAN
SOX21_HUMAN.H10MO.D	SOX21	16	D	SOX-related factors{4.1.1}	11166	SOX21_HUMAN
SOX2_HUMAN.H10MO.B	SOX2	16	B	SOX-related factors{4.1.1}	6657	SOX2_HUMAN
SOX3_HUMAN.H10MO.D	SOX3	13	D	SOX-related factors{4.1.1}	6658	SOX3_HUMAN
SOX4_HUMAN.H10MO.C	SOX4	12	C	SOX-related factors{4.1.1}	6659	SOX4_HUMAN
SOX5_HUMAN.H10MO.C	SOX5	8	C	SOX-related factors{4.1.1}	6660	SOX5_HUMAN
SOX7_HUMAN.H10MO.D	SOX7	16	D	SOX-related factors{4.1.1}	83595	SOX7_HUMAN
SOX8_HUMAN.H10MO.D	SOX8	16	D	SOX-related factors{4.1.1}	30812	SOX8_HUMAN
SOX9_HUMAN.H10MO.B	SOX9	11	B	SOX-related factors{4.1.1}	6662	SOX9_HUMAN
SP1_HUMAN.H10MO.C	SP1	19	C	Three-zinc finger Krüppel-related factors{2.3.1}	6667	SP1_HUMAN
SP1_HUMAN.H10MO.S	SP1	11	S	Three-zinc finger Krüppel-related factors{2.3.1}	6667	SP1_HUMAN
SP2_HUMAN.H10MO.C	SP2	22	C	Three-zinc finger Krüppel-related factors{2.3.1}	6668	SP2_HUMAN
SP3_HUMAN.H10MO.B	SP3	20	B	Three-zinc finger Krüppel-related factors{2.3.1}	6670	SP3_HUMAN
SP4_HUMAN.H10MO.D	SP4	22	D	Three-zinc finger Krüppel-related factors{2.3.1}	6671	SP4_HUMAN
SPDEF_HUMAN.H10MO.D	SPDEF	14	D	Ets-related factors{3.5.2}	25803	SPDEF_HUMAN
SPI1_HUMAN.H10MO.A	SPI1	17	A	Ets-related factors{3.5.2}	6688	SPI1_HUMAN
SPIB_HUMAN.H10MO.B	SPIB	12	B	Ets-related factors{3.5.2}	6689	SPIB_HUMAN
SPIC_HUMAN.H10MO.D	SPIC	13	D	Ets-related factors{3.5.2}	121599	SPIC_HUMAN
SPZ1_HUMAN.H10MO.D	SPZ1	16	D		84654	SPZ1_HUMAN
SRBP1_HUMAN.H10MO.B	SREBF1	11	B	bHLH-ZIP factors{1.2.6}	6720	SRBP1_HUMAN
SRBP2_HUMAN.H10MO.B	SREBF2	13	B	bHLH-ZIP factors{1.2.6}	6721	SRBP2_HUMAN
SRF_HUMAN.H10MO.A	SRF	18	A	Responders to external signals (SRF/RLM1){5.1.2}	6722	SRF_HUMAN
SRY_HUMAN.H10MO.B	SRY	9	B	SOX-related factors{4.1.1}	6736	SRY_HUMAN
STA5A_HUMAN.H10MO.B	STAT5A	11	B	STAT factors{6.2.1}	6776	STA5A_HUMAN
STA5B_HUMAN.H10MO.C	STAT5B	11	C	STAT factors{6.2.1}	6777	STA5B_HUMAN
STAT1_HUMAN.H10MO.A	STAT1	22	A	STAT factors{6.2.1}	6772	STAT1_HUMAN
STAT1_HUMAN.H10MO.S	STAT1	15	S	STAT factors{6.2.1}	6772	STAT1_HUMAN
STAT2_HUMAN.H10MO.B	STAT2	15	B	STAT factors{6.2.1}	6773	STAT2_HUMAN
STAT3_HUMAN.H10MO.A	STAT3	11	A	STAT factors{6.2.1}	6774	STAT3_HUMAN
STAT4_HUMAN.H10MO.D	STAT4	11	D	STAT factors{6.2.1}	6775	STAT4_HUMAN
STAT6_HUMAN.H10MO.C	STAT6	13	C	STAT factors{6.2.1}	6778	STAT6_HUMAN
STF1_HUMAN.H10MO.B	NR5A1	9	B	FTZ-F1-related receptors (NR5){2.1.5}	2516	STF1_HUMAN
SUH_HUMAN.H10MO.C	RBPJ	11	C	CSL-related factors{6.1.4}	3516	SUH_HUMAN
TAL1_HUMAN.H10MO.A	TAL1	19	A	Tal-related factors{1.2.3}	6886	TAL1_HUMAN
TAL1_HUMAN.H10MO.S	TAL1	12	S	Tal-related factors{1.2.3}	6886	TAL1_HUMAN
TBP_HUMAN.H10MO.C	TBP	11	C	TBP-related factors{8.1.1}	6908	TBP_HUMAN
TBR1_HUMAN.H10MO.D	TBR1	13	D	TBrain-related factors{6.5.2}	10716	TBR1_HUMAN
TBX15_HUMAN.H10MO.D	TBX15	19	D	TBX1-related factors{6.5.3}	6913	TBX15_HUMAN
TBX19_HUMAN.H10MO.D	TBX19	22	D	Brachyury-related factors{6.5.1}	9095	TBX19_HUMAN
TBX1_HUMAN.H10MO.D	TBX1	20	D	TBX1-related factors{6.5.3}	6899	TBX1_HUMAN
TBX20_HUMAN.H10MO.D	TBX20	17	D	TBX1-related factors{6.5.3}	57057	TBX20_HUMAN
TBX21_HUMAN.H10MO.D	TBX21	12	D	TBrain-related factors{6.5.2}	30009	TBX21_HUMAN
TBX2_HUMAN.H10MO.D	TBX2	25	D	TBX2-related factors{6.5.4}	6909	TBX2_HUMAN
TBX3_HUMAN.H10MO.D	TBX3	24	D	TBX2-related factors{6.5.4}	6926	TBX3_HUMAN
TBX4_HUMAN.H10MO.D	TBX4	20	D	TBX2-related factors{6.5.4}	9496	TBX4_HUMAN
TBX5_HUMAN.H10MO.D	TBX5	8	D	TBX2-related factors{6.5.4}	6910	TBX5_HUMAN
TCF7_HUMAN.H10MO.C	TCF7	12	C	TCF-7-related factors{4.1.3}	6932	TCF7_HUMAN
TEAD1_HUMAN.H10MO.D	TEAD1	14	D	TEF-1-related factors{3.6.1}	7003	TEAD1_HUMAN
TEAD3_HUMAN.H10MO.D	TEAD3	15	D	TEF-1-related factors{3.6.1}	7005	TEAD3_HUMAN
TEAD4_HUMAN.H10MO.A	TEAD4	13	A	TEF-1-related factors{3.6.1}	7004	TEAD4_HUMAN
TEF_HUMAN.H10MO.D	TEF	14	D	C/EBP-related{1.1.8}	7008	TEF_HUMAN
TF2LX_HUMAN.H10MO.D	TGIF2LX	15	D	TALE-type homeo domain factors{3.1.4}	90316	TF2LX_HUMAN
TF65_HUMAN.H10MO.A	RELA	11	A	NF-kappaB-related factors{6.1.1}	5970	TF65_HUMAN
TF7L1_HUMAN.H10MO.D	TCF7L1	16	D	TCF-7-related factors{4.1.3}	83439	TF7L1_HUMAN
TF7L2_HUMAN.H10MO.A	TCF7L2	13	A	TCF-7-related factors{4.1.3}	6934	TF7L2_HUMAN
TFAP4_HUMAN.H10MO.C	TFAP4	11	C	bHLH-ZIP factors{1.2.6}	7023	TFAP4_HUMAN
TFCP2_HUMAN.H10MO.D	TFCP2	16	D	CP2-related factors{6.7.2}	7024	TFCP2_HUMAN
TFDP1_HUMAN.H10MO.D	TFDP1	22	D	E2F-related factors{3.3.2}	7027	TFDP1_HUMAN
TFDP1_HUMAN.H10MO.S	TFDP1	14	S	E2F-related factors{3.3.2}	7027	TFDP1_HUMAN
TFE2_HUMAN.H10MO.C	TCF3	11	C	E2A-related factors{1.2.1}	6929	TFE2_HUMAN
TFE3_HUMAN.H10MO.C	TFE3	10	C	bHLH-ZIP factors{1.2.6}	7030	TFE3_HUMAN
TFEB_HUMAN.H10MO.C	TFEB	9	C	bHLH-ZIP factors{1.2.6}	7942	TFEB_HUMAN
TGIF1_HUMAN.H10MO.D	TGIF1	16	D	TALE-type homeo domain factors{3.1.4}	7050	TGIF1_HUMAN
TGIF1_HUMAN.H10MO.S	TGIF1	7	S	TALE-type homeo domain factors{3.1.4}	7050	TGIF1_HUMAN
TGIF2_HUMAN.H10MO.D	TGIF2	11	D	TALE-type homeo domain factors{3.1.4}	60436	TGIF2_HUMAN
THAP1_HUMAN.H10MO.D	THAP1	22	D	THAP-related factors{2.9.1}	55145	THAP1_HUMAN
THA_HUMAN.H10MO.C	THRA	17	C	Thyroid hormone receptor-related factors (NR1){2.1.2}	7067	THA_HUMAN
THA_HUMAN.H10MO.S	THRA	10	S	Thyroid hormone receptor-related factors (NR1){2.1.2}	7067	THA_HUMAN
THB_HUMAN.H10MO.C	THRB	17	C	Thyroid hormone receptor-related factors (NR1){2.1.2}	7068	THB_HUMAN
THB_HUMAN.H10MO.S	THRB	10	S	Thyroid hormone receptor-related factors (NR1){2.1.2}	7068	THB_HUMAN
TLX1_HUMAN.H10MO.D	TLX1	17	D	NK-related factors{3.1.2}	3195	TLX1_HUMAN
TLX1_HUMAN.H10MO.S	TLX1	11	S	NK-related factors{3.1.2}	3195	TLX1_HUMAN
TWST1_HUMAN.H10MO.D	TWIST1	10	D	Tal-related factors{1.2.3}	7291	TWST1_HUMAN
TYY1_HUMAN.H10MO.A	YY1	12	A	More than 3 adjacent zinc finger factors{2.3.3}	7528	TYY1_HUMAN
TYY2_HUMAN.H10MO.D	YY2	11	D	More than 3 adjacent zinc finger factors{2.3.3}	404281	TYY2_HUMAN
UBIP1_HUMAN.H10MO.D	UBP1	7	D	CP2-related factors{6.7.2}	7342	UBIP1_HUMAN
UNC4_HUMAN.H10MO.D	UNCX	11	D	Paired-related HD factors{3.1.3}	340260	UNC4_HUMAN
USF1_HUMAN.H10MO.A	USF1	10	A	bHLH-ZIP factors{1.2.6}	7391	USF1_HUMAN
USF2_HUMAN.H10MO.A	USF2	19	A	bHLH-ZIP factors{1.2.6}	7392	USF2_HUMAN
VAX1_HUMAN.H10MO.D	VAX1	18	D	NK-related factors{3.1.2}	11023	VAX1_HUMAN
VAX2_HUMAN.H10MO.D	VAX2	16	D	NK-related factors{3.1.2}	25806	VAX2_HUMAN
VDR_HUMAN.H10MO.B	VDR	16	B	Thyroid hormone receptor-related factors (NR1){2.1.2}	7421	VDR_HUMAN
VDR_HUMAN.H10MO.S	VDR	7	S	Thyroid hormone receptor-related factors (NR1){2.1.2}	7421	VDR_HUMAN
VENTX_HUMAN.H10MO.D	VENTX	19	D	NK-related factors{3.1.2}	27287	VENTX_HUMAN
VSX1_HUMAN.H10MO.D	VSX1	14	D	Paired-related HD factors{3.1.3}	30813	VSX1_HUMAN
VSX2_HUMAN.H10MO.D	VSX2	11	D	Paired-related HD factors{3.1.3}	338917	VSX2_HUMAN
WT1_HUMAN.H10MO.D	WT1	13	D	More than 3 adjacent zinc finger factors{2.3.3}	7490	WT1_HUMAN
XBP1_HUMAN.H10MO.C	XBP1	12	C	XBP-1-related factors{1.1.5}	7494	XBP1_HUMAN
YBOX1_HUMAN.H10MO.D	YBX1	11	D	Dbp factors{9.1.1}	4904	YBOX1_HUMAN
ZBED1_HUMAN.H10MO.D	ZBED1	13	D	BED zinc finger factors{2.3.5}	9189	ZBED1_HUMAN
ZBT18_HUMAN.H10MO.D	ZBTB18	14	D	More than 3 adjacent zinc finger factors{2.3.3}	10472	ZBT18_HUMAN
ZBT49_HUMAN.H10MO.D	ZBTB49	11	D	More than 3 adjacent zinc finger factors{2.3.3}	166793	ZBT49_HUMAN
ZBT7A_HUMAN.H10MO.D	ZBTB7A	17	D	More than 3 adjacent zinc finger factors{2.3.3}	51341	ZBT7A_HUMAN
ZBT7B_HUMAN.H10MO.D	ZBTB7B	21	D	More than 3 adjacent zinc finger factors{2.3.3}	51043	ZBT7B_HUMAN
ZBTB4_HUMAN.H10MO.D	ZBTB4	17	D	Factors with multiple dispersed zinc fingers{2.3.4}	57659	ZBTB4_HUMAN
ZBTB4_HUMAN.H10MO.S	ZBTB4	15	S	Factors with multiple dispersed zinc fingers{2.3.4}	57659	ZBTB4_HUMAN
ZBTB6_HUMAN.H10MO.D	ZBTB6	13	D	More than 3 adjacent zinc finger factors{2.3.3}	10773	ZBTB6_HUMAN
ZEB1_HUMAN.H10MO.B	ZEB1	11	B	HD-ZF factors{3.1.8}	6935	ZEB1_HUMAN
ZEP1_HUMAN.H10MO.D	HIVEP1	12	D	Factors with multiple dispersed zinc fingers{2.3.4}	3096	ZEP1_HUMAN
ZEP2_HUMAN.H10MO.D	HIVEP2	14	D	Factors with multiple dispersed zinc fingers{2.3.4}	3097	ZEP2_HUMAN
ZFHX3_HUMAN.H10MO.D	ZFHX3	11	D	HD-ZF factors{3.1.8}	463	ZFHX3_HUMAN
ZFX_HUMAN.H10MO.C	ZFX	19	C	More than 3 adjacent zinc finger factors{2.3.3}	7543	ZFX_HUMAN
ZIC1_HUMAN.H10MO.B	ZIC1	9	B	More than 3 adjacent zinc finger factors{2.3.3}	7545	ZIC1_HUMAN
ZIC2_HUMAN.H10MO.C	ZIC2	9	C	More than 3 adjacent zinc finger factors{2.3.3}	7546	ZIC2_HUMAN
ZIC3_HUMAN.H10MO.C	ZIC3	9	C	More than 3 adjacent zinc finger factors{2.3.3}	7547	ZIC3_HUMAN
ZIC4_HUMAN.H10MO.D	ZIC4	15	D	More than 3 adjacent zinc finger factors{2.3.3}	84107	ZIC4_HUMAN
ZKSC1_HUMAN.H10MO.C	ZKSCAN1	22	C	More than 3 adjacent zinc finger factors{2.3.3}	7586	ZKSC1_HUMAN
ZKSC3_HUMAN.H10MO.D	ZKSCAN3	11	D	More than 3 adjacent zinc finger factors{2.3.3}	80317	ZKSC3_HUMAN
ZN143_HUMAN.H10MO.A	ZNF143	22	A	More than 3 adjacent zinc finger factors{2.3.3}	7702	ZN143_HUMAN
ZN148_HUMAN.H10MO.D	ZNF148	15	D	More than 3 adjacent zinc finger factors{2.3.3}	7707	ZN148_HUMAN
ZN219_HUMAN.H10MO.D	ZNF219	12	D	Factors with multiple dispersed zinc fingers{2.3.4}	51222	ZN219_HUMAN
ZN232_HUMAN.H10MO.D	ZNF232	19	D	More than 3 adjacent zinc finger factors{2.3.3}	7775	ZN232_HUMAN
ZN282_HUMAN.H10MO.D	ZNF282	14	D	More than 3 adjacent zinc finger factors{2.3.3}	8427	ZN282_HUMAN
ZN333_HUMAN.H10MO.D	ZNF333	9	D	More than 3 adjacent zinc finger factors{2.3.3}	84449	ZN333_HUMAN
ZN350_HUMAN.H10MO.C	ZNF350	24	C	More than 3 adjacent zinc finger factors{2.3.3}	59348	ZN350_HUMAN
ZN384_HUMAN.H10MO.C	ZNF384	12	C	More than 3 adjacent zinc finger factors{2.3.3}	171017	ZN384_HUMAN
ZN410_HUMAN.H10MO.D	ZNF410	13	D	More than 3 adjacent zinc finger factors{2.3.3}	57862	ZN410_HUMAN
ZN423_HUMAN.H10MO.D	ZNF423	15	D	Factors with multiple dispersed zinc fingers{2.3.4}	23090	ZN423_HUMAN
ZN524_HUMAN.H10MO.D	ZNF524	18	D	More than 3 adjacent zinc finger factors{2.3.3}	147807	ZN524_HUMAN
ZN589_HUMAN.H10MO.D	ZNF589	16	D	More than 3 adjacent zinc finger factors{2.3.3}	51385	ZN589_HUMAN
ZN639_HUMAN.H10MO.D	ZNF639	20	D	Factors with multiple dispersed zinc fingers{2.3.4}	51193	ZN639_HUMAN
ZN652_HUMAN.H10MO.D	ZNF652	11	D	More than 3 adjacent zinc finger factors{2.3.3}	22834	ZN652_HUMAN
ZN713_HUMAN.H10MO.D	ZNF713	19	D	More than 3 adjacent zinc finger factors{2.3.3}		ZN713_HUMAN
ZN740_HUMAN.H10MO.D	ZNF740	14	D	Other factors with up to three adjacent zinc fingers{2.3.2}	283337	ZN740_HUMAN
ZN784_HUMAN.H10MO.D	ZNF784	11	D	Factors with multiple dispersed zinc fingers{2.3.4}	147808	ZN784_HUMAN
ZSC16_HUMAN.H10MO.D	ZSCAN16	20	D	More than 3 adjacent zinc finger factors{2.3.3}	80345	ZSC16_HUMAN
ZSCA4_HUMAN.H10MO.D	ZSCAN4	12	D	More than 3 adjacent zinc finger factors{2.3.3}	201516	ZSCA4_HUMAN
